psraid;usr_r;sex;q10c;q14a;q14b;q14c;q14d;q14e;q14g;q14h;q17a;q17b;q17c;q17d;q17e;q17f;q17g;q18;q20;q22a;q22b;q22c;q22d;q22e;q24;q25;q26;q29;age;mar;educ;empl;inc;mobileprice
100094;Rural;Female;Yes;No;Yes;Yes;No;No;No;No; ; ; ; ; ; ; ;2;10;Agree;Agree;Disagree;Disagree;Agree;Yes, have done this;Yes; ;Yes, have paid for app;26;Married;Some college, no 4-year degree (includes associate degree);Employed part-time;$50,000 to under $75,000;105,5
100099;Urban;Female;Yes;No;Yes;Yes;No;No;No;No; ; ; ; ; ; ; ;2;1;Agree;Agree;Agree;Disagree;Agree;No, have never done this;No; ; ;60;Divorced;College graduate (B.S., B.A., or other 4-year degree);Employed full-time;$50,000 to under $75,000;106
100100;Rural;Male;Yes;No;Yes;No;No;No;No;No; ; ; ; ; ; ; ;10;1;Agree;Agree; ;Disagree;Agree;No, have never done this;No; ; ;57;Married;High school incomplete (grades 9-11);Employed full-time;$30,000 to under $40,000;106,1
100104;Urban;Male;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;3; ;Agree;Agree;Agree;Disagree;Agree;No, have never done this; ; ; ;66;Married;High school incomplete (grades 9-11);Disabled;$10,000 to under $20,000;107
100108;Suburban;Male;No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;40;Married;Some college, no 4-year degree (includes associate degree);Employed full-time;$50,000 to under $75,000;107,2
100110;Suburban;Female;Yes;No;Yes;Yes;Yes;No;No;No; ; ; ; ; ; ; ;2;3;Agree;Agree;Agree;Disagree;Agree;No, have never done this;No; ; ;40;Married;College graduate (B.S., B.A., or other 4-year degree);Employed full-time;$50,000 to under $75,000;107,2
100118;Urban;Female;Yes;No;Yes;No;No;No;No;No; ; ; ; ; ; ; ;1;0;Agree;Agree;Disagree;Disagree;Agree;No, have never done this; ; ; ;35;Never been married;Some college, no 4-year degree (includes associate degree);Employed part-time;$20,000 to under $30,000;107,7
100121;Suburban;Female;Yes;No;Yes;Yes;No;No;No;No; ; ; ; ; ; ; ;1;3;Agree;Disagree;Agree;Disagree;Agree;No, have never done this;No; ; ;60;Divorced;Some college, no 4-year degree (includes associate degree);Employed full-time;$30,000 to under $40,000;107,8
100124;Rural;Female;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;0; ;Agree;Agree;Agree;Disagree;Agree;No, have never done this;No; ; ;82;Married;Some college, no 4-year degree (includes associate degree);Retired;$20,000 to under $30,000;108
100128;Suburban;Male;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;0; ;Agree;Disagree; ;Disagree;Disagree;No, have never done this; ; ; ;66; ;None, or grades 1-8;Retired; ;108
100134;Suburban;Female;Yes;No;No;Yes;No;No;No;No; ; ; ; ; ; ; ;2; ;Agree;Disagree;Agree;Disagree;Agree;No, have never done this;No; ; ;62;Married;Post-graduate training/professional school after college (toward a Masters/Ph.D., Law or Medical school);Employed part-time; ;109,7
100143;Urban;Female;Yes;No;Yes;Yes;No;No;No;No; ; ; ; ; ; ; ;3;0;Agree;Agree;Neither agree nor disagree/Agree some-Disagree some;Disagree;Agree;No, have never done this;No; ; ;61;Married;Post-graduate training/professional school after college (toward a Masters/Ph.D., Law or Medical school);Employed full-time;$100,000 to under $150,000;110,1
100152;Suburban;Female;No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;86;Widowed;High school graduate (grade 12 or GED certificate);Retired;Less than $10,000;110,3
100155;Suburban;Female;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;0; ;Agree;Disagree;Disagree;Disagree;Agree;No, have never done this;No; ; ;76;Widowed;High school graduate (grade 12 or GED certificate);Retired;$10,000 to under $20,000;110,5
100157;Suburban;Female;Yes;No;Yes;Yes;No;No;No;No; ; ; ; ; ; ; ;2;0;Agree;Agree;Agree;Disagree;Agree;No, have never done this;No; ; ; ;Married;College graduate (B.S., B.A., or other 4-year degree);Employed full-time; ;110,5
100159;Suburban;Male;Yes;No;No;Yes;No;No;No;No; ; ; ; ; ; ; ;20; ;Agree;Agree;Agree;Disagree;Agree;No, have never done this;No; ; ;51;Married;Technical, trade or vocational school AFTER high school;Employed full-time;$75,000 to under $100,000;110,7
100160;Rural;Female;No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;88;Married;Some college, no 4-year degree (includes associate degree);Not employed for pay;Less than $10,000;110,8
100165;Suburban;Female;No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;72;Widowed;High school graduate (grade 12 or GED certificate);Retired;$20,000 to under $30,000;111,7
100169;Suburban;Male;No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;84;Widowed;High school incomplete (grades 9-11);Retired;$75,000 to under $100,000;112
100171;Suburban;Female;Yes;No;Yes;Yes;Yes;No;No;No; ; ; ; ; ; ; ;4;0;Agree;Agree;Disagree;Disagree;Agree;No, have never done this;No; ; ;59;Divorced;College graduate (B.S., B.A., or other 4-year degree);Not employed for pay;$50,000 to under $75,000;112,1
100172;Suburban;Female;No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;High school incomplete (grades 9-11);Not employed for pay;Less than $10,000;113,3
100180;Urban;Female;Yes;No;Yes;No;No;No;No;No; ; ; ; ; ; ; ;0; ;Disagree;Disagree;Agree;Disagree;Agree;No, have never done this;No; ; ;30;Married;Some college, no 4-year degree (includes associate degree);Employed full-time; ;113,3
100183;Urban;Female;Yes;No;No;Yes;No;No;Yes;No; ; ; ; ; ; ; ;0; ;Agree;Agree;Agree;Agree;Agree;No, have never done this;Yes;8; ;59;Married;Some college, no 4-year degree (includes associate degree);Retired;Less than $10,000;113,8
100187;Suburban;Female;Yes;No;Yes;Yes;No;No;Yes;No; ; ; ; ; ; ; ;4;30;Agree;Agree;Agree;Disagree;Agree;No, have never done this;No; ; ;18;Never been married;High school graduate (grade 12 or GED certificate);Not employed for pay; ;113,9
100190;Suburban;Female;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;1; ;Agree;Disagree;Disagree;Disagree;Agree;No, have never done this;No; ; ;77;Married;High school graduate (grade 12 or GED certificate);Retired; ;114,2
100192;Suburban;Female;Yes;No;Yes;Yes;No;No;No;No; ; ; ; ; ; ; ;4;0;Agree;Agree; ;Disagree;Disagree;No, have never done this; ; ; ;63;Married;Post-graduate training/professional school after college (toward a Masters/Ph.D., Law or Medical school);Retired; ;114,6
100196;Suburban;Female;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;0; ;Agree;Agree;Disagree;Disagree;Agree;No, have never done this;No; ; ;88;Widowed;College graduate (B.S., B.A., or other 4-year degree);Retired;$50,000 to under $75,000;115,1
100199;Suburban;Male;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;2; ;Agree;Agree;Agree;Disagree;Agree;No, have never done this; ; ; ;76;Married;High school graduate (grade 12 or GED certificate);Employed part-time;$40,000 to under $50,000;115,2
100200;Suburban;Male;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;0; ;Agree;Neither agree nor disagree/Agree some-Disagree some;Agree;Disagree;Agree;No, have never done this; ; ; ;64;Never been married;Some college, no 4-year degree (includes associate degree);Retired;$30,000 to under $40,000;115,5
100203;Rural;Female;Yes;No;No;Yes;No;No;No;No; ; ; ; ; ; ; ;5; ;Agree;Agree;Disagree;Disagree;Agree;No, have never done this;No; ; ;47;Married;College graduate (B.S., B.A., or other 4-year degree);Employed full-time;$150,000 or more;115,6
100209;Suburban;Female;No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;49;Married;College graduate (B.S., B.A., or other 4-year degree);Employed full-time;$100,000 to under $150,000;115,7
100210;Rural;Female;No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;80;Widowed;College graduate (B.S., B.A., or other 4-year degree);Not employed for pay;$50,000 to under $75,000;115,9
100215;Suburban;Female;Yes;No;Yes;Yes;No;No;No;No; ; ; ; ; ; ; ;8;0;Agree;Agree;Disagree;Disagree;Agree;No, have never done this;No; ; ;67;Married;Post-graduate training/professional school after college (toward a Masters/Ph.D., Law or Medical school);Retired;$100,000 to under $150,000;116,5
100222;Suburban;Female;No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;30;Married;Some college, no 4-year degree (includes associate degree);Employed part-time;$75,000 to under $100,000;116,5
100224;Urban;Male;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;4; ;Agree;Agree;Disagree;Disagree;Agree;No, have never done this;No; ; ;78;Widowed;Post-graduate training/professional school after college (toward a Masters/Ph.D., Law or Medical school);Retired; ;117,7
100225;Suburban;Male;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;3; ;Disagree;Agree;Agree;Disagree;Agree;No, have never done this;No; ; ;60;Married;Post-graduate training/professional school after college (toward a Masters/Ph.D., Law or Medical school);Employed full-time; ;117,8
100232;Suburban;Male;Yes;No;Yes;No;No;No;No;No; ; ; ; ; ; ; ;2;3;Agree;Agree;Disagree;Disagree;Agree;No, have never done this;No; ; ;53;Divorced;High school graduate (grade 12 or GED certificate);Employed full-time;$75,000 to under $100,000;118
100239;Suburban;Male;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;4; ;Agree;Agree;Agree;Disagree;Agree;No, have never done this;Yes;7; ;60;Never been married;College graduate (B.S., B.A., or other 4-year degree);Employed full-time;$75,000 to under $100,000;118,8
100250;Urban;Female;No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;56;Never been married;Technical, trade or vocational school AFTER high school;Disabled;Less than $10,000;119,4
100260;Urban;Male;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;4; ;Agree;Agree;Agree;Disagree;Agree;No, have never done this;Yes; ; ;68;Married;Some college, no 4-year degree (includes associate degree);Retired;$100,000 to under $150,000;119,7
100264;Rural;Male;Yes;No;Yes;No;No;No;No;No; ; ; ; ; ; ; ;5;5;Agree;Agree;Agree;Disagree;Agree;No, have never done this; ; ; ;49;Married;Post-graduate training/professional school after college (toward a Masters/Ph.D., Law or Medical school);Employed full-time;$150,000 or more;119,7
100266;Suburban;Female;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;2; ;Agree;Disagree;Disagree;Disagree;Agree;No, have never done this; ; ; ;71;Widowed;None, or grades 1-8;Disabled; ;120,1
100276;Urban;Male;No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;76;Married;High school graduate (grade 12 or GED certificate);Retired;$20,000 to under $30,000;120,1
100278;Suburban;Male;Yes;No;Yes;No;No;No;No;No; ; ; ; ; ; ; ;5;3;Disagree;Agree;Disagree;Disagree;Agree;No, have never done this;No; ; ;57;Married;Post-graduate training/professional school after college (toward a Masters/Ph.D., Law or Medical school);Employed full-time;$75,000 to under $100,000;120,3
100279;Suburban;Female;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;0; ;Agree;Agree;Disagree;Disagree;Agree;No, have never done this; ; ; ;78;Widowed;Some college, no 4-year degree (includes associate degree);Not employed for pay; ;120,3
100282;Rural;Male;Yes;No;Yes;Yes;No;No;No;No; ; ; ; ; ; ; ;3;0;Agree;Agree;Agree;Disagree;Agree;No, have never done this;No; ; ;50;Married;Post-graduate training/professional school after college (toward a Masters/Ph.D., Law or Medical school);Employed full-time; ;120,5
100283;Suburban;Male;Yes;No;Yes;No;No;No;No;No; ; ; ; ; ; ; ;2;2;Agree;Agree;Agree;Disagree;Agree;No, have never done this;No; ; ;59;Married;College graduate (B.S., B.A., or other 4-year degree);Employed part-time;$40,000 to under $50,000;120,5
100292;Suburban;Male;Yes;No;No;Yes;No;No;No;No; ; ; ; ; ; ; ;3; ;Agree;Agree;Agree;Disagree;Agree;No, have never done this; ; ; ;81;Married;College graduate (B.S., B.A., or other 4-year degree);Retired; ;120,5
100296;Urban;Female;Yes;No;Yes;No;No;No;No;No; ; ; ; ; ; ; ;3;0;Agree;Agree;Disagree;Disagree;Agree;No, have never done this;No; ; ;67;Never been married;College graduate (B.S., B.A., or other 4-year degree); ;$75,000 to under $100,000;120,6
100302;Rural;Female;Yes;No;Yes;Yes;No;No;No;No; ; ; ; ; ; ; ;6;10;Agree;Agree;Agree;Disagree;Agree;No, have never done this;No; ; ;47;Married;High school graduate (grade 12 or GED certificate);Employed full-time;$75,000 to under $100,000;120,8
100303;Rural;Male;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;3; ;Agree;Agree;Disagree;Agree;Disagree;No, have never done this;No; ; ;82;Married;High school graduate (grade 12 or GED certificate);Employed part-time;$100,000 to under $150,000;121
100304;Urban;Female;Yes;No;Yes;Yes;No;No;No;No; ; ; ; ; ; ; ;5;5;Agree;Agree;Agree;Disagree;Agree;No, have never done this;No; ; ;56;Divorced;Some college, no 4-year degree (includes associate degree);Employed full-time;$75,000 to under $100,000;121,2
100305;Rural;Female;Yes;No;Yes;Yes;No;No;Yes;No; ; ; ; ; ; ; ;2;1;Agree;Agree;Disagree;Disagree;Agree;No, have never done this;No; ; ;47;Married;College graduate (B.S., B.A., or other 4-year degree);Employed full-time;$30,000 to under $40,000;121,2
100307;Urban;Female;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;2; ;Agree;Agree;Agree;Disagree;Agree;No, have never done this;No; ; ;67;Divorced;College graduate (B.S., B.A., or other 4-year degree);Employed part-time;$20,000 to under $30,000;121,5
100309;Urban;Male;No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;86;Married;High school graduate (grade 12 or GED certificate);Retired;$10,000 to under $20,000;121,5
100313;Urban;Female;Yes;No;No;Yes;No;No;No;No; ; ; ; ; ; ; ;0; ;Agree;Agree;Neither agree nor disagree/Agree some-Disagree some;Disagree;Agree;No, have never done this;No; ; ;46;Married;Some college, no 4-year degree (includes associate degree);Have own business/self-employed;$40,000 to under $50,000;121,6
100321;Urban;Female;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;0; ;Agree;Agree;Disagree;Disagree;Agree;No, have never done this;No; ; ;46;Never been married;Post-graduate training/professional school after college (toward a Masters/Ph.D., Law or Medical school);Employed full-time;$150,000 or more;122,3
100335;Urban;Male;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ; ; ;Agree;Disagree;Agree;Disagree;Agree;No, have never done this;No; ; ;80;Married;Some college, no 4-year degree (includes associate degree);Retired;$30,000 to under $40,000;122,3
100336;Rural;Male;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;0; ;Agree;Agree;Agree;Disagree;Agree;No, have never done this;No; ; ;70;Widowed;Some college, no 4-year degree (includes associate degree);Employed part-time;$10,000 to under $20,000;122,5
100348;Rural;Female;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;1; ;Agree;Disagree;Disagree;Disagree;Agree;No, have never done this;No; ; ; ;Divorced;Post-graduate training/professional school after college (toward a Masters/Ph.D., Law or Medical school);Retired; ;122,8
100349;Rural;Female;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ; ; ;Agree;Agree;Agree;Disagree;Agree;No, have never done this;No; ; ;85;Widowed;None, or grades 1-8;Retired; ;122,9
100353;Suburban;Female;No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;58;Separated;None, or grades 1-8;Disabled;Less than $10,000;123,4
100354;Suburban;Female;Yes;No;No;Yes;No;No;No;No; ; ; ; ; ; ; ;1; ;Agree;Disagree;Agree;Disagree;Agree;Phone can NOT download apps; ; ; ;40;Married;College graduate (B.S., B.A., or other 4-year degree);Employed part-time;$100,000 to under $150,000;123,8
100355;Rural;Female;Yes;No;Yes;No;No;No;No;No; ; ; ; ; ; ; ;1;1;Disagree;Disagree;Disagree;Disagree;Disagree;No, have never done this;No; ; ;32;Never been married;High school graduate (grade 12 or GED certificate);Not employed for pay;Less than $10,000;124
100358;Urban;Female;No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Divorced;High school graduate (grade 12 or GED certificate);Employed full-time; ;124,1
100365;Urban;Female;Yes;No;Yes;Yes;No;No;No;No; ; ; ; ; ; ; ;10;10;Agree;Agree;Agree;Disagree;Agree;No, have never done this;No; ; ;41;Single;Post-graduate training/professional school after college (toward a Masters/Ph.D., Law or Medical school);Not employed for pay;$30,000 to under $40,000;124,2
100369;Suburban;Female;Yes;No;No;Yes;No;No;No;No; ; ; ; ; ; ; ; ; ;Agree;Disagree;Agree;Disagree;Agree;No, have never done this;No; ; ;91;Widowed;College graduate (B.S., B.A., or other 4-year degree);Retired;$20,000 to under $30,000;124,2
100376;Urban;Female;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;0; ;Agree;Disagree;Neither agree nor disagree/Agree some-Disagree some;Disagree;Agree;No, have never done this;No; ; ;34;Divorced;Post-graduate training/professional school after college (toward a Masters/Ph.D., Law or Medical school);Employed full-time;$10,000 to under $20,000;124,3
100379;Suburban;Male;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;2; ;Neither agree nor disagree/Agree some-Disagree some;Disagree;Agree;Disagree;Agree;No, have never done this; ; ; ;42;Married;High school graduate (grade 12 or GED certificate);Disabled; ;124,4
100388;Urban;Female;No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;62;Single;High school graduate (grade 12 or GED certificate);Disabled;$20,000 to under $30,000;124,9
100394;Suburban;Female;Yes;No;Yes;No;No;No;No;No; ; ; ; ; ; ; ;2;0;Agree;Agree;Agree;Disagree;Agree;No, have never done this;No; ; ;54;Married;College graduate (B.S., B.A., or other 4-year degree);Retired;$75,000 to under $100,000;124,9
100395;Suburban;Male;No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;25;Never been married;High school graduate (grade 12 or GED certificate);Employed part-time;$20,000 to under $30,000;125
100396;Urban;Male;Yes;No;Yes;Yes;Yes;No;No;No; ; ; ; ; ; ; ;35;6;Agree;Agree;Agree;Agree;Agree;No, have never done this;Yes;9; ;27;Never been married;High school graduate (grade 12 or GED certificate);Employed full-time;$10,000 to under $20,000;125,2
100402;Suburban;Female;No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;59;Divorced;High school incomplete (grades 9-11); ; ;125,3
100403;Urban;Female;Yes;No;Yes;Yes;No;No;Yes;No; ; ; ; ; ; ; ;2;5;Agree;Agree;Disagree;Disagree;Agree;No, have never done this;No; ; ;22;Never been married;College graduate (B.S., B.A., or other 4-year degree);Not employed for pay; ;125,8
100404;Suburban;Female;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;0; ;Agree;Agree;Disagree;Disagree;Agree;No, have never done this;No; ; ;65;Married;High school graduate (grade 12 or GED certificate);Employed full-time;$20,000 to under $30,000;126,5
100405;Suburban;Female;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ; ; ;Agree;Disagree;Disagree;Disagree;Agree;No, have never done this;No; ; ;61;Divorced;High school graduate (grade 12 or GED certificate);Employed full-time;$10,000 to under $20,000;126,6
100407;Suburban;Female;Yes;No;Yes;Yes;No;No;No;No; ; ; ; ; ; ; ;2;10;Agree;Disagree;Disagree;Disagree;Agree;No, have never done this;No; ; ;53;Married;High school graduate (grade 12 or GED certificate);Employed full-time;$50,000 to under $75,000;127,1
100408;Suburban;Male;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;4; ;Agree;Agree;Disagree;Disagree;Agree;No, have never done this;No; ; ;57;Never been married;College graduate (B.S., B.A., or other 4-year degree);Employed part-time; ;127,1
100414;Suburban;Female;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;0; ;Agree;Disagree;Neither agree nor disagree/Agree some-Disagree some;Disagree;Agree;No, have never done this;No; ; ;79;Divorced;High school graduate (grade 12 or GED certificate);Retired; ;127,2
100415;Urban;Female;Yes;No;No;No;No;No;No;No; ; ; ; ; ; ; ;1; ;Agree;Disagree;Agree;Disagree;Agree;No, have never done this;No; ; ;62;Separated;College graduate (B.S., B.A., or other 4-year degree);Retired;$50,000 to under $75,000;127,7
100420;Rural;Female;No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;79;Widowed;Some college, no 4-year degree (includes associate degree);Retired;$20,000 to under $30,000;128,5
100422;Suburban;Female;Yes;No;Yes;Yes;No;No;No;No; ; ; ; ; ; ; ;1;1;Agree;Neither agree nor disagree/Agree some-Disagree some;Disagree;Disagree;Agree;No, have never done this;No; ; ;64;Widowed;Some college, no 4-year degree (includes associate degree);Retired; ;128,8
100424;Rural;Female;No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;70;Widowed;High school graduate (grade 12 or GED certificate);Retired;Less than $10,000;129
100426;Suburban;Female;Yes;No;Yes;Yes;No;No;No;No; ; ; ; ; ; ; ;10;100;Agree;Agree;Agree;Agree;Disagree;No, have never done this;No; ; ;25;Married;College graduate (B.S., B.A., or other 4-year degree);Employed full-time;$50,000 to under $75,000;129,1
